Lead Origin,Lead Source,Do Not Email,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,Lead Quality,Lead Profile,City,A free copy of Mastering The Interview,Last Notable Activity,Lead Score,Lead Category
Landing Page Submission,Direct Traffic,No,0,5.0,1006,5.0,SMS Sent,India,E-Business,Unknown,Unemployed,Might be,Unknown,Other Cities of Maharashtra,Yes,SMS Sent,71.11,Warm Lead
Landing Page Submission,Direct Traffic,No,1,6.0,109,6.0,SMS Sent,India,E-COMMERCE,Unknown,Working Professional,Might be,Unknown,Mumbai,Yes,SMS Sent,99.29,Hot Lead
API,Olark Chat,No,1,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,SMS Sent,57.38,Warm Lead
API,Organic Search,No,0,3.0,1219,3.0,SMS Sent,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,SMS Sent,73.28,Warm Lead
Landing Page Submission,Direct Traffic,No,0,2.0,1984,2.0,Converted to Lead,India,Finance Management,Unknown,Unemployed,Unknown,Unknown,Other Cities,Yes,Modified,10.77,Cold Lead
API,Organic Search,No,0,3.0,151,3.0,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,2.2,Cold Lead
Landing Page Submission,Direct Traffic,No,1,3.0,370,3.0,SMS Sent,India,Marketing Management,Unknown,Working Professional,Might be,Unknown,Mumbai,Yes,SMS Sent,98.48,Hot Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Olark Chat Conversation,0.9,Cold Lead
Landing Page Submission,Google,No,0,4.0,305,4.0,Page Visited on Website,India,International Business,Online Search,Unemployed,Worst,Other Leads,Other Cities,Yes,Modified,0.92,Cold Lead
API,Google,No,1,2.0,1651,2.0,SMS Sent,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,SMS Sent,48.65,Cold Lead
Landing Page Submission,Direct Traffic,No,0,7.0,358,7.0,Email Opened,India,Travel and Tourism,Unknown,Unemployed,Not Sure,Unknown,Mumbai,Yes,Email Opened,5.67,Cold Lead
Landing Page Submission,Direct Traffic,No,0,4.0,373,2.0,SMS Sent,India,Finance Management,Unknown,Unemployed,Might be,Unknown,Mumbai,Yes,SMS Sent,41.91,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Olark Chat Conversation,0.9,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.47,Cold Lead
API,Google,No,0,4.0,84,4.0,SMS Sent,India,Business Administration,Multiple Sources,Unemployed,Not Sure,Unknown,Mumbai,No,SMS Sent,22.15,Cold Lead
API,Google,No,0,4.0,507,4.0,Email Link Clicked,India,Marketing Management,Online Search,Unemployed,Worst,Unknown,Mumbai,No,Email Link Clicked,0.24,Cold Lead
API,Organic Search,Yes,1,11.0,1494,11.0,SMS Sent,India,Unknown,Unknown,Working Professional,Might be,Unknown,Unknown,No,SMS Sent,97.39,Hot Lead
Landing Page Submission,Direct Traffic,No,0,2.0,272,2.0,Email Opened,India,Media and Advertising,Unknown,Working Professional,Might be,Unknown,Mumbai,Yes,Email Opened,86.72,Hot Lead
API,Google,No,1,11.0,115,5.5,SMS Sent,India,Human Resource Management,Unknown,Unemployed,Might be,Potential Lead,Other Metro Cities,Yes,SMS Sent,89.3,Hot Lead
Landing Page Submission,Organic Search,No,1,7.0,941,7.0,Email Opened,India,Business Administration,Unknown,Unemployed,High in Relevance,Unknown,Unknown,No,Email Opened,96.6,Hot Lead
Landing Page Submission,Direct Traffic,No,0,3.0,71,1.5,SMS Sent,India,Marketing Management,Unknown,Unemployed,Not Sure,Unknown,Other Cities,Yes,SMS Sent,28.01,Cold Lead
Landing Page Submission,Google,No,1,3.0,1033,3.0,SMS Sent,India,"Banking, Investment And Insurance",SMS,Unemployed,Not Sure,Other Leads,Mumbai,No,SMS Sent,86.64,Hot Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.47,Cold Lead
API,Olark Chat,No,0,1.0,119,1.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Olark Chat Conversation,0.89,Cold Lead
Landing Page Submission,Direct Traffic,No,1,3.0,1281,3.0,SMS Sent,India,Finance Management,Unknown,Unemployed,Unknown,Unknown,Mumbai,Yes,SMS Sent,78.7,Warm Lead
API,Olark Chat,No,1,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,SMS Sent,72.43,Warm Lead
Landing Page Submission,Direct Traffic,No,0,7.0,90,2.33,Page Visited on Website,United Arab Emirates,Finance Management,Unknown,Unemployed,Worst,Other Leads,Other Cities of Maharashtra,Yes,Modified,1.04,Cold Lead
Landing Page Submission,Google,No,0,4.0,43,4.0,SMS Sent,India,IT Projects Management,Other,Unemployed,Not Sure,Unknown,Mumbai,No,SMS Sent,9.84,Cold Lead
Landing Page Submission,Direct Traffic,No,1,6.0,1957,1.5,SMS Sent,India,Marketing Management,Unknown,Working Professional,Might be,Unknown,Other Cities of Maharashtra,Yes,SMS Sent,98.76,Hot Lead
Landing Page Submission,Google,No,0,5.0,1004,2.5,SMS Sent,India,Operations Management,Online Search,Unemployed,Not Sure,Unknown,Mumbai,No,SMS Sent,64.03,Warm Lead
API,Google,No,1,2.0,1260,2.0,SMS Sent,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,SMS Sent,48.67,Cold Lead
API,Olark Chat,No,1,0.0,0,0.0,SMS Sent,Unknown,IT Projects Management,Unknown,Working Professional,Not Sure,Unknown,Unknown,No,SMS Sent,92.37,Hot Lead
Landing Page Submission,Google,Yes,0,4.0,291,4.0,Email Bounced,India,Marketing Management,Online Search,Unknown,Unknown,Unknown,Mumbai,No,Modified,0.54,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,1083,2.0,SMS Sent,India,Operations Management,Unknown,Unemployed,Not Sure,Unknown,Other Metro Cities,Yes,SMS Sent,26.16,Cold Lead
API,Organic Search,No,0,2.0,278,2.0,SMS Sent,India,Unknown,Unknown,Unemployed,Not Sure,Other Leads,Unknown,No,SMS Sent,22.33,Cold Lead
API,Organic Search,No,1,26.0,120,13.0,SMS Sent,India,Human Resource Management,Unknown,Working Professional,Might be,Potential Lead,Unknown,No,SMS Sent,99.12,Hot Lead
Landing Page Submission,Direct Traffic,No,1,2.0,1496,2.0,SMS Sent,India,Finance Management,Unknown,Working Professional,Might be,Unknown,Other Metro Cities,Yes,SMS Sent,98.24,Hot Lead
API,Organic Search,No,0,5.0,527,5.0,SMS Sent,India,Unknown,Unknown,Unemployed,Might be,Unknown,Unknown,No,SMS Sent,55.19,Warm Lead
API,Organic Search,No,0,2.0,0,2.0,SMS Sent,India,Unknown,Unknown,Unemployed,Might be,Unknown,Unknown,No,SMS Sent,42.2,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Unemployed,Might be,Unknown,Unknown,No,SMS Sent,78.16,Warm Lead
API,Organic Search,No,0,4.0,29,1.33,Form Submitted on Website,India,E-Business,Word Of Mouth,Unemployed,Not Sure,Other Leads,Mumbai,No,Modified,2.18,Cold Lead
Landing Page Submission,Organic Search,No,1,10.0,1337,10.0,SMS Sent,India,Finance Management,Unknown,Unemployed,Unknown,Unknown,Other Metro Cities,Yes,SMS Sent,87.62,Hot Lead
Landing Page Submission,Organic Search,No,0,14.0,302,3.5,SMS Sent,India,Healthcare Management,Unknown,Unemployed,Might be,Unknown,Mumbai,Yes,SMS Sent,48.67,Cold Lead
Landing Page Submission,Google,No,0,4.0,1589,4.0,Email Opened,India,Finance Management,Online Search,Unknown,Unknown,Unknown,Mumbai,No,Modified,30.71,Cold Lead
Landing Page Submission,Google,No,1,4.0,384,4.0,SMS Sent,India,Marketing Management,Multiple Sources,Unemployed,Might be,Unknown,Mumbai,No,SMS Sent,52.3,Warm Lead
API,Olark Chat,No,1,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Working Professional,Might be,Unknown,Unknown,No,SMS Sent,90.05,Hot Lead
Landing Page Submission,Direct Traffic,No,1,4.0,1524,4.0,Email Link Clicked,India,Human Resource Management,Unknown,Unemployed,Might be,Unknown,Mumbai,Yes,Email Link Clicked,88.79,Hot Lead
Landing Page Submission,Google,No,0,10.0,1306,2.5,Page Visited on Website,India,Human Resource Management,Unknown,Unemployed,Worst,Other Leads,Thane & Outskirts,Yes,Page Visited on Website,4.6,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,74,2.0,SMS Sent,India,Operations Management,Unknown,Unemployed,Not Sure,Unknown,Mumbai,Yes,SMS Sent,16.84,Cold Lead
Landing Page Submission,Google,No,0,2.0,105,2.0,SMS Sent,India,Human Resource Management,Student of SomeSchool,Unemployed,Not Sure,Unknown,Mumbai,No,SMS Sent,19.51,Cold Lead
API,Google,No,0,4.0,109,1.33,Converted to Lead,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.14,Cold Lead
Landing Page Submission,Direct Traffic,No,1,4.0,1477,4.0,SMS Sent,India,"Banking, Investment And Insurance",Unknown,Unemployed,Might be,Unknown,Mumbai,Yes,SMS Sent,87.49,Hot Lead
Landing Page Submission,Google,No,1,5.0,576,5.0,Email Opened,India,Finance Management,Word Of Mouth,Working Professional,Low in Relevance,Unknown,Other Cities of Maharashtra,No,Email Opened,90.12,Hot Lead
API,Olark Chat,No,1,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Unemployed,Might be,Unknown,Unknown,No,SMS Sent,78.16,Warm Lead
Landing Page Submission,Direct Traffic,Yes,0,9.0,701,9.0,SMS Sent,India,Healthcare Management,Unknown,Unemployed,Not Sure,Unknown,Other Metro Cities,Yes,SMS Sent,17.72,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,5.05,Cold Lead
Landing Page Submission,Google,No,0,8.0,108,4.0,Page Visited on Website,India,Human Resource Management,Word Of Mouth,Unknown,Unknown,Unknown,Mumbai,No,Page Visited on Website,1.78,Cold Lead
Landing Page Submission,Google,No,0,3.0,465,3.0,SMS Sent,India,Finance Management,Unknown,Unknown,Unknown,Unknown,Mumbai,Yes,Modified,12.83,Cold Lead
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Unknown,Human Resource Management,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Email Opened,79.6,Warm Lead
Landing Page Submission,Google,No,1,3.0,1303,3.0,SMS Sent,India,"Banking, Investment And Insurance",Other,Unemployed,Might be,Unknown,Thane & Outskirts,No,SMS Sent,92.34,Hot Lead
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Link Clicked,Unknown,Finance Management,Unknown,Housewife,Low in Relevance,Other Leads,Other Cities,No,Email Link Clicked,86.26,Hot Lead
API,Olark Chat,No,1,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,SMS Sent,72.47,Warm Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.47,Cold Lead
Landing Page Submission,Direct Traffic,No,0,4.0,21,4.0,SMS Sent,India,Business Administration,Unknown,Unknown,Unknown,Unknown,Other Cities,Yes,Modified,5.57,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,SMS Sent,72.43,Warm Lead
API,Google,No,0,2.0,415,2.0,SMS Sent,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,SMS Sent,15.34,Cold Lead
Landing Page Submission,Google,No,1,6.0,1202,3.0,Page Visited on Website,India,Retail Management,Student of SomeSchool,Unemployed,Might be,Unknown,Mumbai,Yes,Modified,87.1,Hot Lead
API,Google,No,1,2.0,1164,1.0,Form Submitted on Website,India,Finance Management,Unknown,Unemployed,Unknown,Unknown,Mumbai,Yes,Modified,67.91,Warm Lead
Landing Page Submission,Direct Traffic,Yes,0,4.0,68,2.0,Page Visited on Website,India,E-COMMERCE,Unknown,Unknown,Unknown,Unknown,Tier II Cities,Yes,Page Visited on Website,0.67,Cold Lead
API,Olark Chat,No,1,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Unemployed,Might be,Unknown,Unknown,No,SMS Sent,78.16,Warm Lead
Landing Page Submission,Google,No,1,5.0,1347,2.5,SMS Sent,India,Marketing Management,Unknown,Unemployed,Might be,Potential Lead,Other Cities,Yes,SMS Sent,97.47,Hot Lead
Lead Add Form,Reference,No,1,3.0,1168,2.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,High in Relevance,Unknown,Unknown,No,Modified,97.96,Hot Lead
Landing Page Submission,Organic Search,Yes,0,5.0,245,2.5,SMS Sent,India,Human Resource Management,Unknown,Unemployed,Not Sure,Unknown,Mumbai,Yes,SMS Sent,7.22,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,5.05,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,221,2.0,Form Submitted on Website,India,Human Resource Management,Unknown,Unemployed,Might be,Unknown,Mumbai,Yes,Modified,5.7,Cold Lead
Landing Page Submission,Direct Traffic,No,0,7.0,224,7.0,Email Opened,India,Operations Management,Unknown,Unemployed,Low in Relevance,Other Leads,Thane & Outskirts,Yes,Email Opened,21.88,Cold Lead
Landing Page Submission,Organic Search,No,0,5.0,171,2.5,Email Opened,India,Human Resource Management,Unknown,Unemployed,Unknown,Unknown,Mumbai,Yes,Email Opened,4.55,Cold Lead
Landing Page Submission,Direct Traffic,No,1,4.0,1298,2.0,SMS Sent,India,IT Projects Management,Unknown,Unemployed,Unknown,Unknown,Other Cities,Yes,SMS Sent,71.4,Warm Lead
Landing Page Submission,Direct Traffic,No,0,2.0,333,2.0,SMS Sent,India,Finance Management,Unknown,Unemployed,Not Sure,Unknown,Other Cities of Maharashtra,Yes,SMS Sent,17.9,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,288,2.0,SMS Sent,India,Marketing Management,Unknown,Unemployed,Might be,Unknown,Mumbai,Yes,SMS Sent,42.1,Cold Lead
Landing Page Submission,Direct Traffic,No,1,3.0,1136,3.0,Email Opened,India,Finance Management,Unknown,Unemployed,Low in Relevance,Other Leads,Mumbai,Yes,Email Opened,97.04,Hot Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,5.05,Cold Lead
Landing Page Submission,Google,No,0,4.0,135,4.0,SMS Sent,India,"Banking, Investment And Insurance",Online Search,Unknown,Unknown,Unknown,Thane & Outskirts,No,Modified,6.47,Cold Lead
Landing Page Submission,Google,No,0,4.0,1195,1.33,SMS Sent,India,Business Administration,Unknown,Unemployed,Not Sure,Unknown,Mumbai,Yes,SMS Sent,46.14,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,1380,2.0,SMS Sent,India,Business Administration,Unknown,Unemployed,Might be,Unknown,Mumbai,Yes,SMS Sent,53.92,Warm Lead
API,Olark Chat,No,1,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Unemployed,Might be,Unknown,Unknown,No,SMS Sent,78.16,Warm Lead
Landing Page Submission,Google,No,1,7.0,945,3.5,SMS Sent,India,Finance Management,Other,Unemployed,Might be,Unknown,Thane & Outskirts,No,SMS Sent,91.41,Hot Lead
Landing Page Submission,Organic Search,No,1,21.0,558,3.5,Page Visited on Website,India,Human Resource Management,Unknown,Unemployed,High in Relevance,Potential Lead,Mumbai,Yes,Page Visited on Website,95.35,Hot Lead
Landing Page Submission,Direct Traffic,No,0,4.0,504,4.0,Email Opened,India,"Banking, Investment And Insurance",Unknown,Unemployed,Not Sure,Unknown,Mumbai,Yes,Email Opened,6.58,Cold Lead
API,Organic Search,No,1,3.0,1350,3.0,Email Opened,United States,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Email Opened,55.78,Warm Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Link Clicked,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Link Clicked,2.76,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Unemployed,Might be,Unknown,Unknown,No,SMS Sent,78.16,Warm Lead
API,Olark Chat,No,0,0.0,0,0.0,Page Visited on Website,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Page Visited on Website,1.56,Cold Lead
Landing Page Submission,Direct Traffic,No,1,5.0,1557,5.0,SMS Sent,India,Media and Advertising,Unknown,Unknown,Unknown,Unknown,Mumbai,Yes,Modified,71.14,Warm Lead
API,Organic Search,No,0,3.0,18,3.0,SMS Sent,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,SMS Sent,16.82,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.47,Cold Lead
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Unknown,"Banking, Investment And Insurance",Unknown,Unemployed,High in Relevance,Potential Lead,Mumbai,No,Email Opened,97.8,Hot Lead
Landing Page Submission,Direct Traffic,No,0,2.0,204,2.0,Email Opened,Kenya,Human Resource Management,Unknown,Unemployed,Unknown,Unknown,Other Cities,No,Email Opened,3.28,Cold Lead
Landing Page Submission,Organic Search,No,1,14.0,1200,2.8,Email Opened,India,Operations Management,Unknown,Unemployed,Low in Relevance,Unknown,Thane & Outskirts,Yes,Email Opened,97.8,Hot Lead
Landing Page Submission,Direct Traffic,No,0,3.0,1288,1.5,SMS Sent,India,Finance Management,Word Of Mouth,Unemployed,Not Sure,Unknown,Mumbai,Yes,SMS Sent,71.26,Warm Lead
Landing Page Submission,Google,Yes,0,3.0,242,3.0,SMS Sent,India,"Banking, Investment And Insurance",Online Search,Unemployed,Might be,Unknown,Mumbai,No,SMS Sent,12.53,Cold Lead
Landing Page Submission,Google,No,1,4.0,849,4.0,SMS Sent,India,"Banking, Investment And Insurance",Advertisements,Unknown,Unknown,Unknown,Thane & Outskirts,No,SMS Sent,80.37,Hot Lead
API,Olark Chat,No,1,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Student,Might be,Unknown,Unknown,No,SMS Sent,88.53,Hot Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,5.05,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Olark Chat Conversation,0.9,Cold Lead
API,Google,No,1,3.0,899,3.0,SMS Sent,India,Unknown,Unknown,Student,Might be,Unknown,Unknown,No,SMS Sent,96.49,Hot Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,5.05,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Olark Chat Conversation,0.9,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,5.05,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.47,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,5.05,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,5.05,Cold Lead
API,Google,No,0,3.0,120,1.5,Olark Chat Conversation,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.45,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,131,2.0,Email Opened,India,Supply Chain Management,Unknown,Unemployed,Not Sure,Other Leads,Mumbai,Yes,Email Opened,5.81,Cold Lead
API,Olark Chat,No,0,3.0,54,1.5,Page Visited on Website,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Page Visited on Website,0.88,Cold Lead
Landing Page Submission,Direct Traffic,No,0,3.0,446,1.5,Email Opened,India,Human Resource Management,Unknown,Unemployed,Worst,Unknown,Mumbai,Yes,Email Opened,0.4,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Link Clicked,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Link Clicked,2.76,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.47,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,119,2.0,Email Opened,India,Finance Management,Unknown,Unemployed,Not Sure,Unknown,Mumbai,Yes,Email Opened,2.53,Cold Lead
API,Organic Search,No,0,2.0,61,2.0,Email Opened,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Email Opened,7.84,Cold Lead
API,Direct Traffic,No,0,4.0,244,4.0,Email Opened,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Email Opened,10.55,Cold Lead
Landing Page Submission,Direct Traffic,Yes,0,4.0,545,2.0,Page Visited on Website,India,Supply Chain Management,Unknown,Unknown,Unknown,Unknown,Mumbai,Yes,Page Visited on Website,1.33,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,547,2.0,Page Visited on Website,India,E-Business,Unknown,Unemployed,Unknown,Unknown,Mumbai,Yes,Modified,2.74,Cold Lead
Landing Page Submission,Google,No,0,4.0,113,4.0,SMS Sent,India,Finance Management,Word Of Mouth,Unemployed,Not Sure,Unknown,Mumbai,No,SMS Sent,16.41,Cold Lead
Landing Page Submission,Direct Traffic,No,0,1.0,384,1.0,Converted to Lead,India,Finance Management,Unknown,Unemployed,Worst,Unknown,Other Cities,Yes,Modified,0.38,Cold Lead
API,Olark Chat,No,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,31.95,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,53,2.0,SMS Sent,India,Marketing Management,Unknown,Unemployed,Not Sure,Unknown,Mumbai,Yes,SMS Sent,11.59,Cold Lead
Landing Page Submission,Organic Search,No,0,7.0,279,3.5,Form Submitted on Website,India,Marketing Management,Online Search,Unemployed,Might be,Unknown,Thane & Outskirts,No,Modified,10.22,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,440,2.0,Email Opened,India,Human Resource Management,Unknown,Unemployed,Low in Relevance,Student of SomeSchool,Other Cities,Yes,Email Opened,59.83,Warm Lead
Landing Page Submission,Google,No,1,3.0,995,3.0,SMS Sent,India,Finance Management,Online Search,Unemployed,Not Sure,Unknown,Mumbai,No,SMS Sent,76.13,Warm Lead
Landing Page Submission,Direct Traffic,No,0,5.0,38,2.5,Email Opened,India,Retail Management,Unknown,Unemployed,Not Sure,Other Leads,Mumbai,Yes,Email Opened,7.23,Cold Lead
Landing Page Submission,Direct Traffic,No,0,5.0,100,1.25,Email Opened,India,Finance Management,Unknown,Unknown,Unknown,Unknown,Mumbai,Yes,Email Opened,3.56,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,3.85,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,461,2.0,SMS Sent,India,Operations Management,Unknown,Unemployed,Might be,Unknown,Mumbai,Yes,SMS Sent,53.27,Warm Lead
Landing Page Submission,Direct Traffic,No,0,4.0,119,4.0,Email Opened,India,E-Business,Unknown,Unknown,Unknown,Unknown,Other Cities of Maharashtra,Yes,Modified,1.57,Cold Lead
Landing Page Submission,Google,No,0,2.0,1324,2.0,SMS Sent,India,Media and Advertising,Word Of Mouth,Unemployed,Not Sure,Unknown,Mumbai,No,SMS Sent,41.03,Cold Lead
Landing Page Submission,Google,No,1,4.0,981,4.0,Email Opened,India,IT Projects Management,Online Search,Unemployed,Low in Relevance,Unknown,Other Cities of Maharashtra,No,Email Opened,93.97,Hot Lead
Landing Page Submission,Google,No,0,2.0,225,2.0,SMS Sent,India,Business Administration,Online Search,Unemployed,Not Sure,Unknown,Mumbai,No,SMS Sent,11.21,Cold Lead
API,Direct Traffic,No,0,12.0,247,2.4,Email Link Clicked,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Email Link Clicked,22.25,Cold Lead
API,Olark Chat,Yes,0,0.0,0,0.0,Email Bounced,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,0.54,Cold Lead
Landing Page Submission,Direct Traffic,No,1,3.0,1321,1.5,Email Opened,United Arab Emirates,Supply Chain Management,Unknown,Unemployed,High in Relevance,Unknown,Other Metro Cities,Yes,Modified,95.91,Hot Lead
API,Organic Search,No,0,6.0,178,1.5,Page Visited on Website,India,Operations Management,Online Search,Unemployed,Unknown,Unknown,Other Cities,Yes,Page Visited on Website,5.28,Cold Lead
API,Olark Chat,Yes,0,0.0,0,0.0,Email Bounced,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,1.87,Cold Lead
Landing Page Submission,Direct Traffic,No,0,7.0,1147,7.0,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Unknown,Unknown,Thane & Outskirts,Yes,Email Opened,22.59,Cold Lead
Landing Page Submission,Google,No,1,4.0,1563,4.0,SMS Sent,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,SMS Sent,81.54,Hot Lead
API,Google,No,0,1.0,16,1.0,Converted to Lead,India,Unknown,Unknown,Unemployed,Worst,Other Leads,Unknown,No,Modified,0.11,Cold Lead
Landing Page Submission,Direct Traffic,No,1,2.0,1152,2.0,SMS Sent,India,Finance Management,Unknown,Working Professional,Might be,Potential Lead,Mumbai,Yes,SMS Sent,98.72,Hot Lead
API,Olark Chat,No,0,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,SMS Sent,72.43,Warm Lead
API,Google,No,0,6.0,457,3.0,Olark Chat Conversation,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Olark Chat Conversation,1.79,Cold Lead
Landing Page Submission,Google,No,0,5.0,12,1.67,Olark Chat Conversation,India,Human Resource Management,Unknown,Unemployed,Unknown,Unknown,Mumbai,Yes,Modified,5.63,Cold Lead
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,High in Relevance,Unknown,Unknown,No,Email Opened,94.18,Hot Lead
API,Google,No,1,2.0,291,2.0,SMS Sent,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,SMS Sent,34.5,Cold Lead
